Family,Species,SpecCode,A_ord,B_pen,MaxSizeTL,Linf,LinfType,LinfTL,K,Kmax,O,Method,Source
Belonidae,Ablennes hians,972,0.0004,3.322,45,123,FL,127.05777,0.605,0.605,3.96,LenFrq,Fishbase
Pomacentridae,Abudefduf declivifrons,55868,0.0227,3.142,25,18.9,TL,18.9,0.85,0.85,2.48,LenFrq,Inferred
Pomacentridae,Abudefduf troschelii,8245,0.0227,3.142,40,18.9,TL,18.9,0.85,0.85,2.48,LenFrq,Inferred
Acanthuridae,Acanthurus nigricans,6011,0.067,2.669,50,14.3,SL,17.83764125,0.28,0.28,1.76,Otolth,Fishbase
Acanthuridae,Acanthurus triostegus,1260,0.0213,3.081,35,20,FL,20.03,1.43,1.43,2.77,Otolth,Fishbase
Acanthuridae,Acanthurus xanthopterus,1261,0.02673,2.98449,75,42.6,SL,59.615718,0.287,0.287,2.72,Otolth,Fishbase
Myliobatidae,Aetobatus narinari,1250,0.0058,3.13,250,91.2,WD,91.2,0.25,0.25,3.32,OthRin,Family
Serranidae,Alphestes immaculatus,8727,0.0217,3.035,55,47.2,FL,47.2,0.33,0.33,2.87,Otolth,Inferred
Monacanthidae,Aluterus scriptus,4275,0.0022,3,60,63.5,TL,63.5,0.22,0.22,2.95,LenFrq,Inferred
Haemulidae,Anisotremus caesius,13701,0.01484,3.167,30,48.2,FL,52.513659,0.13,0.13,2.48,LenFrq,Inferred
Haemulidae,Anisotremus davidsonii,3568,0.01484,3.167,45,48.2,FL,52.513659,0.13,0.13,2.48,LenFrq,Inferred
Haemulidae,Anisotremus interruptus,8253,0.0589,2.91,80,48.2,FL,52.513659,0.13,0.13,2.48,LenFrq,Fishbase
Haemulidae,Anisotremus taeniatus,13703,0.01484,3.167,45,48.2,FL,52.513659,0.13,0.13,2.48,LenFrq,Inferred
Apogonidae,Apogon atradorsatus,25507,0.00977,3.1922,15,15,TL,15,0.9,0.9,2.31,Unknown,Inferred
Apogonidae,Apogon dovii,8256,0.00977,3.1922,40,15,TL,15,0.9,0.9,2.31,Unknown,Inferred
Apogonidae,Apogon guadalupensis,3523,0.00977,3.1922,15,15,TL,15,0.9,0.9,2.31,Unknown,Inferred
